,resource_id,ts,node_hwmon_temp_celsius,node_cpu_seconds_total,node_memory_MemTotal_bytes,node_memory_MemFree_bytes,node_disk_read_bytes_total_x,node_disk_read_bytes_total_y
149,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723752900.0,42.34666666666663,47038.04983333333,1081840218112.0,1031405532569.6,726727517.8666667,726727517.8666667
150,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723753200.0,38.68916666666663,14985.751999999997,1081840218112.0,1031413199940.2667,496240076.8,496240076.8
151,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723753500.0,39.33666666666662,37715.23400000001,1081840218112.0,1031352360277.3334,374420317.8666667,374420317.8666667
152,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723753800.0,40.46999999999996,33305.08533333333,1081840218112.0,1031320390792.5333,686758050.1333333,686758050.1333333
153,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723754100.0,41.171666666666624,28552.626166666672,1081840218112.0,1031361314406.4,544751249.0666667,544751249.0666667
154,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723754400.0,39.1008333333333,23879.477500000005,1081840218112.0,1031329758754.1333,759434564.2666667,759434564.2666667
155,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723754700.0,38.87916666666663,38101.73183333332,1081840218112.0,1031307215189.3334,404776140.8,404776140.8
156,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723755000.0,40.334166666666626,38017.9785,1081840218112.0,1031280876339.2,448052608.0,448052608.0
157,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723755300.0,39.76249999999996,47629.63699999999,1081840218112.0,1031337900782.9333,547030237.8666667,547030237.8666667
158,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723755600.0,40.463333333333296,28819.065833333334,1081840218112.0,1031350450995.2,533908130.1333333,533908130.1333333
159,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723755900.0,38.3658333333333,18882.71466666666,1081840218112.0,1031303053653.3334,372208426.6666667,372208426.6666667
160,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723756200.0,40.26999999999996,33759.817833333334,1081840218112.0,1031326227729.0667,561935385.6,561935385.6
161,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723756500.0,40.217499999999966,52510.45116666668,1081840218112.0,1031302048290.1333,585576516.2666667,585576516.2666667
162,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723756800.0,39.12749999999996,29016.917833333333,1081840218112.0,1031299359470.9333,468938820.26666665,468938820.26666665
163,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723757100.0,38.15333333333329,33636.44283333334,1081840218112.0,1031293692450.1333,483590621.8666667,483590621.8666667
164,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723757400.0,39.38166666666663,24767.177,1081840218112.0,1031257805550.9333,739921408.0,739921408.0
165,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723757700.0,41.882499999999965,33411.210166666664,1081840218112.0,1031271852987.7333,554171810.1333333,554171810.1333333
166,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723758000.0,38.22916666666663,43273.46233333334,1081840218112.0,1031293864618.6666,616513237.3333334,616513237.3333334
167,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723758300.0,38.16249999999996,9960.342,1081840218112.0,1031220216558.9333,549542340.2666667,549542340.2666667
168,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723758600.0,41.3633333333333,19580.494166666664,1081840218112.0,1031209432200.5333,511187148.8,511187148.8
169,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723758900.0,41.31999999999996,33472.171500000004,1081840218112.0,1031179721659.7333,718143974.4,718143974.4
170,ffefe222-85c5-5785-b35f-1fe0bded73b0,1723759200.0,39.522499999999965,15001.63716666667,1081840218112.0,1031159865275.7333,690997504.0,690997504.0
